Date,MoE,Obama,Poll,Romney,Sample,Spread,State
11/3,3.0,46.0,PPP (D),53.0,1080,-7.0,AZ
10/21,4.5,44.0,Rasmussen Reports,52.0,500,-8.0,AZ
9/17,2.0,35.0,Talk Business Poll,56.0,2228,-21.0,AR
3/26,3.6,33.0,Talk Business Poll,57.0,759,-24.0,AR
9/15,2.1,34.0,Talk Business Poll,50.0,2101,-16.0,AR
10/30,3.6,54.0,Field,39.0,751,15.0,CA
10/21,2.9,54.0,LA Times/USC,40.0,1440,14.0,CA
10/21,4.0,53.0,PPIC,41.0,993,12.0,CA
10/15,5.1,53.0,Reason-Rupe,38.0,508,15.0,CA
10/9,4.3,53.0,SurveyUSA,39.0,539,14.0,CA
11/4,3.0,52.0,PPP (D),46.0,1096,6.0,CO
10/30,2.9,50.0,WeAskAmerica,47.0,1246,3.0,CO
10/31,3.8,47.0,Denver Post/SurveyUSA,45.0,695,2.0,CO
10/29,4.0,47.0,Rasmussen Reports,50.0,750,-3.0,CO
10/31,3.5,50.0,CNN/Opinion Research,48.0,764,2.0,CO
10/28,4.0,47.0,ARG,48.0,600,-1.0,CO
11/2,2.8,55.0,PPP (D),42.0,1220,13.0,CT
10/21,4.5,52.0,Rasmussen Reports,45.0,500,7.0,CT
10/22,2.6,55.0,Quinnipiac,41.0,1412,14.0,CT
10/21,4.2,53.0,SurveyUSA,40.0,575,13.0,CT
10/17,4.0,49.0,Mason-Dixon,42.0,625,7.0,CT
11/5,3.1,49.0,Gravis Marketing,49.0,1060,0.0,FL
11/4,4.6,47.0,Florida Times-Union/InAdv,52.0,437,-5.0,FL
11/4,3.2,50.0,PPP (D),49.0,955,1.0,FL
11/1,3.5,45.0,TBT/Herald/Mason-Dixon,51.0,800,-6.0,FL
11/1,2.5,49.0,NBC/WSJ/Marist,47.0,1545,2.0,FL
10/30,3.0,49.0,WeAskAmerica,50.0,1146,-1.0,FL
11/1,4.7,42.0,InsiderAdvantage,54.0,426,-12.0,GA
10/28,4.2,44.0,SurveyUSA,52.0,574,-8.0,GA
9/28,2.4,62.0,Honolulu Civil Beat/MRG,30.0,1648,32.0,HI
10/16,4.1,59.0,PPP (D),32.0,568,27.0,HI
10/30,3.0,57.0,WeAskAmerica,41.0,1198,16.0,IL
10/8,3.7,55.0,Chicago Tribune,36.0,700,19.0,IL
9/10,2.8,47.0,The Simon Poll/SIU,34.0,1261,13.0,IL
11/1,4.0,43.0,Rasmussen Reports,52.0,600,-9.0,IN
10/30,3.5,41.0,Howey/DePauw,51.0,800,-10.0,IN
11/4,2.9,50.0,PPP (D),48.0,1122,2.0,IA
11/4,4.0,48.0,ARG,49.0,600,-1.0,IA
11/2,3.5,47.0,Des Moines Register,42.0,800,5.0,IA
11/1,4.0,49.0,Gravis Marketing,45.0,594,4.0,IA
10/30,4.0,48.0,Rasmussen Reports,49.0,750,-1.0,IA
10/30,3.0,49.0,WeAskAmerica,47.0,1174,2.0,IA
10/29,3.0,50.0,NBC/WSJ/Marist,44.0,1142,6.0,IA
11/10,3.5,31.0,SurveyUSA,56.0,800,-25.0,KS
10/7,4.0,37.0,Clarus Research,53.0,602,-16.0,LA
11/3,3.3,53.0,MPRC (D),42.0,905,11.0,ME
11/2,2.4,55.0,PPP (D),42.0,1633,13.0,ME
10/31,4.0,49.0,Critical Insights,42.0,613,7.0,ME
11/3,3.4,45.0,PPP (D),52.0,836,-7.0,MT
10/31,4.0,43.0,Mason-Dixon,53.0,625,-10.0,MT
10/29,4.5,43.0,Rasmussen Reports,53.0,500,-10.0,MT
10/25,3.8,40.0,Omaha World-Herald,54.0,679,-14.0,NE
9/20,3.8,39.0,Omaha World-Herald,53.0,656,-14.0,NE
5/16,4.5,39.0,Rasmussen Reports,53.0,500,-14.0,NE
3/25,3.1,39.0,PPP (D),51.0,1028,-12.0,NE
3/5,4.5,35.0,Rasmussen Reports,52.0,500,-17.0,NE
10/2,3.6,38.0,PPP (D),51.0,739,-13.0,NE
1/27,3.1,37.0,PPP (D),49.0,977,-12.0,NE
11/4,3.6,51.0,PPP (D),47.0,750,4.0,NV
10/29,2.9,50.0,LVRJ/SurveyUSA,46.0,1212,4.0,NV
10/24,3.2,50.0,Gravis Marketing,49.0,955,1.0,NV
10/24,3.0,50.0,NBC/WSJ/Marist,47.0,1042,3.0,NV
10/23,4.5,50.0,Rasmussen Reports,48.0,500,2.0,NV
11/4,4.0,50.0,Rasmussen Reports,48.0,750,2.0,NH
11/4,3.7,50.0,New England College,46.0,687,4.0,NH
11/4,2.5,50.0,PPP (D),48.0,1550,2.0,NH
11/4,4.0,49.0,ARG,49.0,600,0.0,NH
11/4,3.5,51.0,WMUR/UNH,48.0,789,3.0,NH
11/1,4.3,50.0,Gravis Marketing,49.0,497,1.0,NH
10/29,3.0,49.0,NBC/WSJ/Marist,47.0,1013,2.0,NH
10/25,4.0,51.0,Philadelphia Inquirer,41.0,601,10.0,NJ
10/18,4.2,54.0,SurveyUSA,40.0,577,14.0,NJ
10/18,3.5,53.0,Richard Stockton Col.,38.0,811,15.0,NJ
10/14,2.7,51.0,Quinnipiac,43.0,1319,8.0,NJ
10/25,3.8,50.0,Albuquerque Journal*,41.0,662,9.0,NM
10/8,4.5,54.0,Rasmussen Reports,43.0,500,11.0,NM
9/27,2.9,51.0,WeAskAmerica*,41.0,1258,10.0,NM
10/25,4.1,62.0,SurveyUSA,33.0,554,29.0,NY
10/24,3.6,59.0,Siena,35.0,750,24.0,NY
10/21,4.1,61.0,Marist,35.0,565,26.0,NY
11/4,2.9,46.0,Gravis Marketing,50.0,1130,-4.0,NC
11/4,3.2,49.0,PPP (D),49.0,926,0.0,NC
10/29,3.8,45.0,SurveyUSA,50.0,682,-5.0,NC
10/25,4.5,46.0,Rasmussen Reports,52.0,500,-6.0,NC
10/26,2.8,45.0,Elon University,45.0,1238,0.0,NC
10/28,4.0,40.0,Mason-Dixon,54.0,625,-14.0,ND
10/18,4.0,40.0,Rasmussen Reports,54.0,600,-14.0,ND
10/15,4.4,32.0,Forum/Essman,57.0,500,-25.0,ND
11/4,3.3,50.0,Ohio Poll/Univ of Cin.,49.0,901,1.0,OH
11/4,4.0,49.0,Rasmussen Reports,49.0,750,0.0,OH
11/4,3.5,49.0,SurveyUSA,44.0,803,5.0,OH
11/5,2.7,49.0,Gravis Marketing,48.0,1316,1.0,OH
11/4,3.1,52.0,PPP (D),47.0,1000,5.0,OH
11/3,2.2,50.0,Columbus Dispatch*,48.0,1501,2.0,OH
11/1,3.1,51.0,NBC/WSJ/Marist,45.0,971,6.0,OH
8/14,4.4,29.0,Sooner Poll,58.0,495,-29.0,OK
5/10,4.4,27.0,Sooner Poll,62.0,504,-35.0,OK
10/28,5.0,47.0,The Oregonian,41.0,405,6.0,OR
10/25,3.9,47.0,Hoffman Research (R),42.0,615,5.0,OR
10/18,4.2,49.0,SurveyUSA,42.0,579,7.0,OR
10/23,3.5,55.0,Baltimore Sun,36.0,801,19.0,MD
10/15,4.0,60.0,Washington Post,36.0,843,24.0,MD
9/23,3.5,55.0,Gonzales Research,36.0,813,19.0,MD
11/3,4.1,57.0,UMass/Boston Herald,37.0,800,20.0,MA
11/2,3.0,57.0,PPP (D),42.0,1089,15.0,MA
11/1,4.2,58.0,Western NE University,40.0,535,18.0,MA
11/4,2.7,51.0,Mitchell Research,46.0,1305,5.0,MI
11/2,2.2,46.0,Baydoun/Foster (D),47.0,1913,-1.0,MI
11/3,3.7,52.0,PPP (D),46.0,700,6.0,MI
11/1,4.0,52.0,Rasmussen Reports,47.0,750,5.0,MI
10/29,4.0,48.0,Detroit News,45.0,600,3.0,MI
10/29,4.0,48.0,EPIC-MRA,42.0,600,6.0,MI
11/3,4.2,52.0,KSTP/SurveyUSA,41.0,556,11.0,MN
11/3,2.9,53.0,PPP (D),45.0,1164,8.0,MN
10/31,4.4,45.0,NMB Research/AFF (R),46.0,500,-1.0,MN
10/25,3.5,47.0,Star Tribune/Mason-Dixon,44.0,800,3.0,MN
10/21,4.5,51.0,Rasmussen Reports,46.0,500,5.0,MN
3/27,3.4,40.0,PPP (D),46.0,817,-6.0,MS
11/3,3.4,45.0,PPP (D),53.0,835,-8.0,MO
10/30,2.9,42.0,WeAskAmerica,54.0,1217,-12.0,MO
11/3,4.1,43.0,SurveyUSA,50.0,589,-7.0,MO
10/25,4.0,41.0,Post-Dispatch/Mason-Dixon,54.0,625,-13.0,MO
10/17,4.5,43.0,Rasmussen Reports,54.0,500,-11.0,MO
11/4,3.0,49.0,Gravis Marketing,46.0,1060,3.0,PA
11/3,5.0,49.0,Morning Call,46.0,430,3.0,PA
11/3,3.5,52.0,PPP (D),46.0,790,6.0,PA
10/31,3.5,47.0,Tribune-Review/Susquehanna,47.0,800,0.0,PA
10/28,4.2,49.0,Franklin & Marshall,45.0,547,4.0,PA
10/25,4.0,49.0,Philadelphia Inquirer,43.0,600,6.0,PA
10/24,4.5,51.0,Rasmussen Reports,46.0,500,5.0,PA
10/5,4.5,58.0,Brown University,32.0,471,26.0,RI
9/29,4.4,57.0,WPRI/Fleming,33.0,501,24.0,RI
2/22,4.2,54.0,PPP (D),37.0,544,17.0,RI
10/13,2.1,40.0,NBC News/Marist,46.0,2131,-6.0,SC
8/28,4.0,38.0,PPP (D),53.0,587,-15.0,SC
6/5,3.6,41.0,PPP (D),50.0,741,-9.0,SC
1/30,2.9,42.0,PPP (D),49.0,1167,-7.0,SC
1/30,3.0,40.0,PPP (D),46.0,1045,-6.0,SD
5/9,,40.0,Tennessean/Vanderbilt,47.0,0,-7.0,TN
2/25,5.0,41.0,Middle Tn. State U.,47.0,416,-6.0,TN
2/22,3.0,39.0,Tennessean/Vanderbilt,42.0,1508,-3.0,TN
2/13,4.4,41.0,PPP (D),48.0,500,-7.0,TN
10/14,3.4,38.0,Baselice & Associates (R),54.0,851,-16.0,TX
9/26,4.7,39.0,Texas Lyceum,58.0,443,-19.0,TX
9/11,3.1,40.0,WPA,55.0,1000,-15.0,TX
6/21,2.8,26.0,Deseret News/KSL,68.0,1222,-42.0,UT
7/10,3.6,31.0,PPP (D),63.0,732,-32.0,UT
4/28,5.0,22.0,Mason-Dixon,73.0,400,-51.0,UT
4/27,6.2,27.0,Deseret News,67.0,254,-40.0,UT
5/16,4.0,59.0,Castleton State College,28.0,607,31.0,VT
2/22,3.5,58.0,Castleton State College,33.0,800,25.0,VT
7/31,2.8,54.0,PPP (D),34.0,1233,20.0,VT
11/4,4.0,48.0,Rasmussen Reports,50.0,750,-2.0,VA
11/2,2.9,48.0,NBC/WSJ/Marist,47.0,1165,1.0,VA
11/4,3.1,51.0,PPP (D),47.0,975,4.0,VA
11/1,3.0,49.0,WeAskAmerica,48.0,1069,1.0,VA
10/26,3.9,48.0,Gravis Marketing,48.0,645,0.0,VA
10/28,3.0,49.0,CBS/NYT/Quinnipiac,47.0,1074,2.0,VA
10/26,4.0,44.0,Roanoke College,49.0,638,-5.0,VA
10/25,4.0,47.0,Purple Strategies,47.0,600,0.0,VA
10/26,3.5,51.0,Washington Post,47.0,1228,4.0,VA
10/24,3.0,45.0,FOX News,47.0,1126,-2.0,VA
11/3,3.2,53.0,PPP (D),46.0,932,7.0,WA
10/31,4.2,54.0,SurveyUSA,40.0,555,14.0,WA
9/4,3.7,37.0,PPP (D),49.0,708,-12.0,WV
1/23,2.9,37.0,PPP (D),50.0,1105,-13.0,WV
11/3,2.8,51.0,PPP (D),48.0,1256,3.0,WI
11/1,3.0,52.0,WeAskAmerica,45.0,1210,7.0,WI
10/29,4.0,49.0,Rasmussen Reports,49.0,750,0.0,WI
10/29,3.0,49.0,NBC/WSJ/Marist,46.0,1065,3.0,WI
10/28,2.8,51.0,Marquette University,43.0,1243,8.0,WI
